Man_TouchBody,Man_TouchFace,Man_RightHandToBody,Man_RightHandToFace,Man_LeftHandToBody,Man_LeftHandToFace,Robot_TouchBody,Robot_TouchFace,Robot_RightHandToBody,Robot_RightHandToFace,Robot_LeftHandToBody,Robot_LeftHandToFace,Woman_TouchBody,Woman_TouchFace,Woman_RightHandToBody,Woman_RightHandToFace,Woman_LeftHandToBody,Woman_LeftHandToFace
0.6126138424,0.6447035127,0.5828559328,0.723882815,0.8159024028,0.7060330404,1.432549792,2.213742478,0.9066577231,1.609922445,1.000221327,2.064877572,1.174786779,0.6276466005,1.125115169,0.8760254173,0.8605484524,0.8149938777
1.285831773,0.968104223,1.845390941,1.669385827,1.592368754,1.113329429,0.3819772414,1.441143547,0.9361255932,1.258255533,0.2759644945,1.051497315,0.5050906571,0.4846146419,0.3478247004,0.6820332609,0.1864694069,0.9598550417
4.651174952,6.074169233,4.03792167,8.01415414,2.912674805,8.565982693,8.116413345,5.920604114,3.01758248,7.007785023,4.578596843,3.422167725,5.200545452,2.654913804,8.931729432,2.077510052,3.59408671,2.248108013
2.580943154,1.692726608,3.766534254,1.030860348,3.229243299,2.344671352,4.614026823,1.925894004,4.895690885,2.601885393,5.584255855,1.633761662,6.812709916,2.002923265,2.272953958,0.4449669547,4.093639065,1.781743451
0.8658854626,1.793422473,1.000047653,0.8436379132,0.8755153282,1.872750917,0.7347089998,1.72434052,1.349034791,0.8339445961,0.9317926484,1.488883217,1.095903061,0.5897230508,2.185426098,0.5894785604,2.212087379,1.49731834
7.89750768,6.002221261,4.546735196,4.888453057,6.801934517,5.2873652,3.494417361,3.411044367,2.958227563,2.642696298,2.876427029,2.378086041,2.133737457,6.27323111,1.95302774,2.513294481,1.590156197,3.971398172
7.627538072,1.359978165,6.665756767,1.540226512,9.400939811,2.178921032,5.789266047,12.66957108,3.696632527,11.83954682,7.791539572,15.20419894,10.37933078,12.11616912,9.427687965,11.33732688,11.28067563,10.53582552
2.177638238,1.873873729,2.880960282,0.8472150188,1.833562309,1.50007079,2.308133285,1.935398187,1.542883877,1.729043836,1.464341054,1.877934022,5.442044156,3.64761518,2.940463334,5.196979351,3.437935746,4.015552927
7.744972821,2.444016716,7.51705216,3.034651204,7.642637017,1.857797942,1.567406953,3.28877036,1.792532453,2.954941093,2.393188865,3.305185017,1.388503501,1.854907859,2.356798617,2.280573613,2.402867799,2.243609637
0.6444320865,1.482870941,0.9027402053,1.771212731,0.7387484354,1.178884848,0.5518199193,1.401320197,1.246267484,1.534790548,1.046049696,1.364507729,0.6926752141,0.6887572306,0.5962976593,0.5881244691,1.498504168,0.8659984166
1.657309813,8.069837921,3.001278246,8.854015019,2.20916702,5.908061613,1.428348417,1.385917957,1.305995942,1.894517046,1.142050908,2.204899966,3.051568035,2.57266768,1.341793252,2.89733864,2.223762157,1.631014695
2.2816739,0.5947158558,0.6742832681,0.7974352872,0.8372873174,0.5011105241,2.383073706,1.372928915,2.859897536,2.186065687,3.308515557,0.8778775967,5.735201302,2.392200657,6.733941745,4.206317504,4.362498208,3.222694169
1.161055029,4.058165138,2.339000161,4.199521493,0.7315294813,2.9161335,0.9092963993,1.303113685,1.67539064,2.559964128,0.9795789649,2.354140005,2.480411608,1.658003669,2.104615618,1.356746539,2.237517596,1.353066462
1.510223001,1.336918296,1.002218077,0.3295818987,1.078065163,0.2494524695,0.5478505302,0.4974852773,0.4674344071,0.5554128436,0.7765002803,0.54194035,4.612673711,1.018756478,6.787560565,1.113459442,7.631069143,6.124857198
0.5078726362,1.457970408,0.8607733905,0.7394544615,0.7372613031,1.535562304,0.5491113194,1.067768757,0.3207053114,0.9889134265,0.2754805325,0.6384037947,0.764600314,3.404225816,0.9932343707,2.144901092,1.254014942,2.913077229
3.995950511,2.00484479,7.437335037,2.507740206,5.111828753,3.54997562,6.636833112,5.794728876,6.992096465,7.016768791,5.340845297,5.736607483,4.934805919,1.534610773,6.315827282,1.616875647,6.204777471,2.867888809
2.038117036,2.148631499,3.128959833,2.26624326,1.949086772,1.998441695,1.426494269,2.183541196,0.706913918,1.599262341,4.268868786,1.078700265,3.106137048,0.7350976815,3.482325852,1.039694463,2.876663083,1.804533802
0.8176053725,5.861489908,0.8850417352,6.06836939,1.247477564,2.141084969,2.936645539,1.517667314,2.905730864,4.824703913,3.213383389,3.052735337,1.560425975,2.0375248,1.660335278,1.6284933,1.812303745,1.885269239
2.028045035,2.987679147,2.896791666,2.43740645,1.13012969,2.117395936,3.109777572,1.210422773,1.646680181,0.7440758608,3.40450731,0.7770995336,3.856220345,1.253427997,3.046216633,0.9326088745,1.659063226,1.338518028
1.040974455,4.691776732,1.527522373,2.554320386,1.633733297,1.418649464,6.150993286,4.963636632,5.912124063,4.110600718,3.31633437,4.606321184,3.574935936,2.578396367,4.250974668,3.754542771,6.000403846,5.605044222
1.93045951,4.090007124,0.5253530573,3.636146979,1.996428423,1.476114548,5.992991396,6.810718777,4.371612598,1.478463259,4.925313556,3.156970546,0.9601395155,0.9090175161,1.218286009,0.5650598264,0.6223332056,0.5333754856
0.6040168818,2.646338238,0.6857763521,0.9311609197,0.5531634727,0.6972601735,0.6797508214,1.009853,1.306487837,0.5271712034,1.87085787,0.7025082056,0.6972579306,1.22200529,0.5169495745,0.5706057772,0.4961528402,1.089501443
1.384584491,1.959890721,0.9187325141,0.8934320081,1.303847693,0.575566791,0.7002191722,0.2527740264,0.9321546884,0.8608243771,0.8532525211,0.51184544,0.9248401021,2.919764152,0.9115492,1.118556781,0.8329712431,2.233921802
6.702668941,5.776859498,8.427304408,2.509538313,9.452493153,3.847862151,3.384125331,8.648889367,6.912627833,6.383965249,3.090937175,8.965646658,5.944891838,5.717465031,6.937536343,9.209631256,6.974043717,6.322197007
1.22555762,1.60228308,0.3804506211,1.076674745,0.7045906735,0.531292066,1.212825244,1.470836608,1.381964118,1.825093177,1.276154664,1.977165632,1.25229001,1.679804051,2.740791577,2.770641399,2.704737732,1.138420996
0.4415825314,1.345888589,0.3919399879,0.4798115842,0.4099424168,0.3012752163,0.5512833767,0.9264386358,0.2538631551,0.8189522596,0.3788601733,0.6097159916,0.9550929558,1.018567558,0.9799944082,0.3963409112,1.117962913,0.8227825532
1.884276652,1.128914636,1.571591202,1.546079436,2.034982918,1.329009082,1.677160404,1.991593759,1.276907907,1.069568164,1.184796078,1.250218984,2.317743325,1.706122547,1.312521732,1.414966741,1.473499716,3.253935238
2.957181532,6.40291583,2.154972047,3.69581128,1.366417472,5.274270068,1.542106343,2.6330004,3.037213908,2.871186361,1.276465841,1.138594507,3.822170086,1.47117962,3.248566582,1.549623798,2.330706071,1.907030292
0.6161997499,1.269348583,0.415166663,1.137626871,1.24213273,1.231945466,0.662762959,0.6876359785,0.9122723761,0.4056123964,1.254849208,0.6135441571,0.3208672629,0.6405595581,0.31296422,0.7378560779,0.1915233244,0.4592304453
1.4598586,0.6756614328,0.6316468157,1.5330264,0.5960579123,0.8650561712,1.542387979,2.496932672,7.20687391,1.983909949,4.592542384,1.694303287,0.9851647995,2.416027322,0.8675310622,0.8944114951,0.9722234204,3.314197513
6.958988277,10.41201326,3.920004861,10.07195981,3.380746643,7.317632145,4.006725899,7.425780368,6.154566844,2.371282108,3.16899949,3.74466654,5.371141888,1.036579174,4.628676827,4.252660676,4.684149459,2.298109651